debate_unit_id,label,span,source_annotators,construction_note
79871,answer,Det er jeg helt enig i.,"common substring of GQV1P2A6, X8ONC7FW",Reduced to shortest span after containment check
79871,answer,"Men jeg hører, at vi er enige om, at det var det første skridt, hvad angår psykiatrien, og at vi går videre i fællesskab, og det vil jeg bare glæde mig over. Tak.","common substring of XA2J3CRV, GQV1P2A6",Reduced to shortest span after containment check
79871,answer,"Selvfølgelig er der en forventning om, at vi løser problemerne, og det synes jeg vi i fællesskab er godt i gang med på nogle vigtige områder","common substring of XA2J3CRV, GQV1P2A6",Reduced to shortest span after containment check
79873,evasion,"Jeg tror, at Parti_Fs partileder henviser til et gammelt debatindlæg.","common substring of TMOFL9OS, T4XQCNVT",Reduced to shortest span after containment check
79873,evasion,Så for os handler det om at hjælpe landmændene.,"common substring of EN4AMWYO, T4XQCNVT",Reduced to shortest span after containment check
79874,answer,"Det oplever jeg bestemt at vi har. Jeg synes jo, at man skal lukke jobcentrene, som vi kender dem.","common substring of EN4AMWYO, T4XQCNVT",Reduced to shortest span after containment check
79874,answer,"Og derfor synes jeg, det er fint, at man står til rådighed for arbejdsmarkedet.","common substring of TMOFL9OS, EN4AMWYO",Reduced to shortest span after containment check
79876,answer,Parti_G er demokratiske socialister. Det indebærer grundlæggende frihedsrettigheder inklusive den private ejendomsret.,"common substring of TMOFL9OS, T4XQCNVT",Reduced to shortest span after containment check
79877,answer,"Der er selvfølgelig ikke nogen, der har vetoret i forhold til en flerårsaftale omkring politiet","common substring of XA2J3CRV, GQV1P2A6",Reduced to shortest span after containment check
79877,answer,"Men det er jo lige præcis det, der er det afgørende","common substring of XA2J3CRV, GQV1P2A6",Reduced to shortest span after containment check
79878,answer,"Ja, hvis de voksne, vi taler om her, også er myndigheder.","common substring of 3W55WS04, QLQE68OW",Reduced to shortest span after containment check
79881,evasion,"Det er derfor, jeg synes, at tingene nogle gange vender forkert og vi nogle gange mangler at have fokus på, at pengene skal tjenes. Det er også derfor, at en generationsskiftebeskatning jo er ødelæggende for det at skabe vækst i samfundet.","common substring of TMOFL9OS, EN4AMWYO",Reduced to shortest span after containment check
79881,answer,"Ja, altså, jeg blev også noget rystet over, at det faktisk endte på den måde, som det gjorde, nemlig at nu skal vi alle sammen til at være fattigere","common substring of EN4AMWYO, T4XQCNVT",Reduced to shortest span after containment check
79881,evasion,Nu er borgerlighed jo mange ting. Det skal vi jo snart have en god drøftelse om.,"common substring of TMOFL9OS, EN4AMWYO",Reduced to shortest span after containment check
79884,answer,"Nej, det synes jeg faktisk ikke","common substring of XA2J3CRV, GQV1P2A6",Reduced to shortest span after containment check
79892,answer,"Vores tilgang var, at man kunne beslutte, at man skal køre på danske overenskomster indgået af repræsentative parter, men at det ikke behøver at følge 3F's overenskomstniveau.","common substring of EN4AMWYO, X8ONC7FW",Reduced to shortest span after containment check
79893,evasion,"Helt overordnet vil jeg sige, at målet i sidste ende må være, at folk lever meningsfulde liv og på den måde oplever, at tilværelsen giver mening.","common substring of TMOFL9OS, EN4AMWYO",Reduced to shortest span after containment check
79893,evasion,"Man rykker altså balancen mellem borgere og stat mere i retning af borgeren, og det betyder også, at man skal gå ind for lavere skatter.","common substring of TMOFL9OS, EN4AMWYO",Reduced to shortest span after containment check
89354,answer,"Altså, jeg synes ikke, der er nogen grund til at lade sig begrænse af procesrammer, at det præcis skal være 2030, der er fikspunktet.","common substring of 3W55WS04, QLQE68OW",Reduced to shortest span after containment check
89354,answer,"Men arbejdet med at gå i gang med reformer, der skal føre Danmark stærkere ind i fremtiden, er det, jeg bebuder fra Folketingets talerstol i dag, og der glæder jeg mig rigtig meget til at arbejde sammen også med Parti_C.","common substring of 3W55WS04, H3RLK3KQ",Reduced to shortest span after containment check
89358,attack,"Så kan Taleren ikke se, at der er en voldsom uoverensstemmelse mellem det, Taleren siger nu, og den aftale, der rent faktisk er indgået?","common substring of 3W55WS04, H3RLK3KQ",Reduced to shortest span after containment check
89358,attack,"Taleren hopper jo præcis i den fælde, jeg anmeldte nogle ville hoppe i, da vi foreslog det her, nemlig at når det først kom til lovgivning, ville for mange partier sige: Nej, ikke lige præcis det dér, for det synes vi er rigtig, rigtig godt","common substring of 3W55WS04, H3RLK3KQ",Reduced to shortest span after containment check
89361,answer,Det bliver vi ikke uenige om – det er jeg meget enig i.,"common substring of 92WQXVXF, X8ONC7FW",Reduced to shortest span after containment check
89362,answer,Den grønne omstilling må og skal være markedsdrevet,"common substring of 0XG4V7HF, FEG68TDY",Reduced to shortest span after containment check
89362,answer,Det vil vi rasende gerne være med til,"common substring of 0XG4V7HF, 3W55WS04",Reduced to shortest span after containment check
89364,evasion,"Jeg ved i hvert fald, det er noget, der er blevet diskuteret.","common substring of XA2J3CRV, PCIEWQQM",Reduced to shortest span after containment check
89365,answer,"Altså, som sagt synes jeg, at der skal være et friplejehjem i hver kommune – ikke fordi et friplejehjem er bedre end de offentlige, men fordi det er noget andet, og fordi der skal være noget at vælge mellem.","common substring of XA2J3CRV, PCIEWQQM",Reduced to shortest span after containment check
89365,answer,"Det er derfor, jeg siger, at på ældreområdet og på hele velfærdsområdet skal vi have en langt højere grad af frit valg","common substring of GQV1P2A6, PCIEWQQM",Reduced to shortest span after containment check
89365,answer,"Jeg ønsker frit valg på alle velfærdshylder. Nu spørger Taleren specifikt til ældreområdet. Altså, som sagt synes jeg, at der skal være et friplejehjem i hver kommune","common substring of XA2J3CRV, GQV1P2A6",Reduced to shortest span after containment check
89369,answer,"Nej, det fortryder jeg ikke.","common substring of 3W55WS04, QLQE68OW, H3RLK3KQ",Reduced to shortest span after containment check
89382,evasion,"Men det havde jo været smukt, hvis vi havde løst det i forbindelse med forhandlingerne om Arne.","common substring of 3W55WS04, QLQE68OW",Reduced to shortest span after containment check
89388,evasion,"Tværtimod siger PET jo, at risikoen for, at de her børn bliver radikaliserede og bliver en trussel mod den danske stat, stiger nærmest for hver dag, de er dernede.","common substring of TMOFL9OS, EN4AMWYO",Reduced to shortest span after containment check
89388,evasion,på grund af,"common substring of TMOFL9OS, EN4AMWYO",Reduced to shortest span after containment check
89389,attack,"Men det er jo den konsekvens, Taleren har valgt – retssamfundet fra, børnene bliver straffet i stedet for.","common substring of FEG68TDY, 3W55WS04",Reduced to shortest span after containment check
89389,answer,"Og det betyder jo, at i det sekund de kommer til landet, skal de retsforfølges og straffes for deres handlinger.","common substring of FEG68TDY, 3W55WS04",Reduced to shortest span after containment check
89389,answer,"jeg anerkender jo, at forældrene følger med børnene – det gør de, medmindre det viser sig, at man kan tvangsfjerne dem in absentia, og det er vist stadig væk under overvejelse","common substring of FEG68TDY, 3W55WS04",Reduced to shortest span after containment check
89391,answer,"Jeg tror sådan set, at det nærmest kommer til at ske af sig selv.","common substring of FEG68TDY, 3W55WS04",Reduced to shortest span after containment check
89391,answer,"Når vi siger, at den ikke er lukket, er det jo ikke, fordi den snævre aftale teknisk set ikke er lukket, men fordi vi har behov for at gøre mere på bilområdet.","common substring of FEG68TDY, 3W55WS04",Reduced to shortest span after containment check
89391,answer,"Og det betyder, at vi kommer tilbage til bilerne, at vi kommer tilbage til spørgsmålet om affald og vi kommer tilbage til det om energien. Det bliver vi nødt til.","common substring of FEG68TDY, 3W55WS04",Reduced to shortest span after containment check
89394,answer,"Jeg bryder mig slet ikke om det, og havde der efter vores mening været nogen mulighed for at undgå det, så skulle vi have undgået det, og vi har ikke kigget på gamle sager osv.","common substring of TMOFL9OS, X8ONC7FW",Reduced to shortest span after containment check
92399,answer,Der er jo heldigvis et godt samarbejde i Folketinget om netop at kigge på grænsehindringer.,"common substring of TMOFL9OS, T4XQCNVT",Reduced to shortest span after containment check
92399,answer,"Det kunne også godt være branding, som man kunne samarbejde om.","common substring of TMOFL9OS, EN4AMWYO, T4XQCNVT",Reduced to shortest span after containment check
92399,evasion,"Først vil jeg sige, at IA har sagt nej til Kvanefjeldet, Kuannersuit, men vi siger sådan set ja til minedrift.","common substring of TMOFL9OS, EN4AMWYO",Reduced to shortest span after containment check
92403,evasion,"Jeg er stolt af vores fødevareproduktion i Danmark, og jeg er også stolt af dansk landbrug – det er jeg.","common substring of TMOFL9OS, 5PIQCGDC",Reduced to shortest span after containment check
92409,evasion,"Så det her er vigtigt i udenrigspolitikken, det er vigtigt i sikkerhedspolitikken.","common substring of TMOFL9OS, EN4AMWYO",Reduced to shortest span after containment check
92413,answer,"Men når vi skal være ærlige, var det måske ikke lige præcis demonstrationer, vi havde for øje.","common substring of EN4AMWYO, X8ONC7FW",Reduced to shortest span after containment check
92419,attack,Det får partilederen så manipuleret over til,"common substring of 5F0GOPY8, V8LMMQZN",Reduced to shortest span after containment check
92428,answer,"Det har jeg ikke svaret, og nej, det mener jeg heller ikke.","common substring of TMOFL9OS, X8ONC7FW",Reduced to shortest span after containment check
92428,answer,"Jeg er helt bekendt med det, og det er faktisk et rigtig godt og fagligt solidt arbejde, Danmarks Videncenter for Integration nu leverer. Og det er da et kæmpeproblem, at så mange syrere står uden for arbejdsmarkedet og ikke er i uddannelse.","common substring of T4XQCNVT, X8ONC7FW",Reduced to shortest span after containment check
92429,answer,"Jeg synes ikke, det giver mening at ramme på den her måde, og som minimum skal rigsfællesskabets sprog da undtages.","common substring of 3W55WS04, H3RLK3KQ",Reduced to shortest span after containment check
92434,answer,"det er det, der er foretaget herinde i Folketingssalen, og som de så handler ud fra.","common substring of 3W55WS04, QLQE68OW",Reduced to shortest span after containment check
92434,answer,"men det, jeg kritiserer, er lovgivningen","common substring of 3W55WS04, QLQE68OW",Reduced to shortest span after containment check
92442,answer,"Ja, for det er jo en aftale, vi har indgået, og så skal vi finde veje derhen","common substring of FEG68TDY, 3W55WS04",Reduced to shortest span after containment check
92444,evasion,"Der er også nogle af dem, som har fået frataget statsborgerskabet, og hvor man stadig væk taler om, at de har en tilknytning til Danmark. Det har de ikke efter min mening.","common substring of 3W55WS04, QLQE68OW",Reduced to shortest span after containment check
92444,evasion,"Jeg har det jo sådan, at vi også synes, at der skulle laves en krigsforbryderdomstol i lokalområdet. Det tager selvfølgelig noget tid at etablere.","common substring of 3W55WS04, H3RLK3KQ",Reduced to shortest span after containment check
92444,evasion,"Man kan altid diskutere, hvor moralen og dobbeltmoralen er, det er jeg da helt med på.","common substring of 3W55WS04, H3RLK3KQ",Reduced to shortest span after containment check
92444,evasion,"Men lige nu har de valgt Danmark fra, og de sidder jo, hvor de gør, fordi de har støttet et sygt regime og et sygt system","common substring of 3W55WS04, QLQE68OW",Reduced to shortest span after containment check
101062,answer,"Jeg må jo være helt ærlig og sige, at det, der giver mig mest anledning til overvejelser nu, er krigen i Ukraine, og hvordan vi løser det.","common substring of 5PIQCGDC, X8ONC7FW",Reduced to shortest span after containment check
101064,answer,"Når det er sagt, vil jeg kraftigt appellere til, at vi følges ad på sanktionssporet i EU sammen med vores allierede. For det er der, vi er stærkest.","common substring of 3W55WS04, H3RLK3KQ",Reduced to shortest span after containment check
101066,answer,"Der var vi med til at tage ansvar for en NATO-allieret. Det er sådan, det er at være med i NATO.","common substring of EN4AMWYO, X8ONC7FW",Reduced to shortest span after containment check
101066,answer,"Det er jo den omstilling af det danske forsvar, som vi skal igennem, og det er det forhåbentlig også for NATO's vedkommende.","common substring of EN4AMWYO, X8ONC7FW",Reduced to shortest span after containment check
101066,answer,"Det har Putins invasion sørget for. Men man skal ikke afvise, at det kan være nødvendigt at tage ansvar i andre dele af verden.","common substring of EN4AMWYO, X8ONC7FW",Reduced to shortest span after containment check
101069,self_promotion,Det med havnene foreslog jeg to dage efter invasionen,"common substring of 92WQXVXF, DIPTZ1WV",Reduced to shortest span after containment check
101069,answer,"Jeg tror, at vi deler opfattelsen af, at sanktioner virker bedst, hvis man er flest mulige, der kommer med dem.","common substring of DIPTZ1WV, X8ONC7FW",Reduced to shortest span after containment check
101069,answer,"Vi skal have hårde sanktioner, og jeg mener i den optik ikke, at de kan blive hårde nok.","common substring of DIPTZ1WV, X8ONC7FW",Reduced to shortest span after containment check
101076,answer + evasion,"Der er jo ikke nogen tvivl om, at Grønlands beliggenhed er årsagen til, at kongeriget er en arktisk nation.","common substring of TMOFL9OS, 5PIQCGDC, T4XQCNVT, X8ONC7FW",Reduced to shortest span after containment check
101076,evasion,"Hele vores geostrategiske interesse i Arktis, som vi deler som rigsfællesskab, jamen den udspringer af Grønland, og derfor skal Grønland jo også involveres i den her proces.","common substring of TMOFL9OS, 5PIQCGDC",Reduced to shortest span after containment check
101079,answer,"Vi kan godt gøre det hurtigere, mere smidigt – det er vi villige til – men vi skal også have nogle balancer i det.","common substring of T4XQCNVT, X8ONC7FW",Reduced to shortest span after containment check
101084,answer,"Det er rigtigt, at vi kommer til at lave et underskud på de offentlige finanser,","common substring of PCIEWQQM, X8ONC7FW",Reduced to shortest span after containment check
101084,answer,men jeg forstod simpelt hen ikke spørgsmålet.,"common substring of PCIEWQQM, X8ONC7FW",Reduced to shortest span after containment check
101093,answer,"Det er ikke korrekt, at vi er med til at droppe budgetloven.","common substring of DIPTZ1WV, X8ONC7FW",Reduced to shortest span after containment check
101093,answer,"Også hvis det kræver åbning af aftaler, gør vi det gerne. Vi stiller os ikke udenfor, vi er interesserede i at rykke fremad.","common substring of DIPTZ1WV, X8ONC7FW",Reduced to shortest span after containment check
101100,evasion,"Hvornår stopper det? For lige nu har I bare en plan, der hedder mere og mere, og det tror jeg simpelt hen kan blive rigtig farligt på sigt.","common substring of TMOFL9OS, EN4AMWYO",Reduced to shortest span after containment check
101100,evasion,"Selvfølgelig skal man kunne svare igen, men hvor ender det henne? Det kunne jeg godt tænke mig at Parti_B eller nogle af de andre partier, som er med i det nationale kompromis, svarede på.","common substring of TMOFL9OS, EN4AMWYO",Reduced to shortest span after containment check
101101,answer,"Der er også kommet en midlertidig børneydelse for de fattigste børnefamilier, og så har vi lavet nogle forbedringer, om end de er uendeligt små","common substring of DIPTZ1WV, X8ONC7FW",Reduced to shortest span after containment check
101101,answer,"nemlig at vi selvfølgelig er imod, at den økonomiske ulighed er steget. Vi er rigtig, rigtig bekymrede over den situation, vi står i nu, og derfor knokler vi benhårdt i forhandlingslokalet for at få gjort noget for de fattigste i vores samfund.","common substring of DIPTZ1WV, X8ONC7FW",Reduced to shortest span after containment check
101106,attack,"Det er jo ikke mig, der ønsker Danmark med i artikel 42, stk. 2, det er jo Taleren.","common substring of 92WQXVXF, X8ONC7FW",Reduced to shortest span after containment check
101113,answer,"Jeg har den tilgang til en grøn skattereform, at det er en bunden opgave, og at det er noget, vi skal løse i fællesskab. Det har vi simpelt hen en forpligtelse til.","common substring of 92WQXVXF, X8ONC7FW",Reduced to shortest span after containment check
101114,evasion,"Hvis der skal være en stærkere sammenhæng i rigsfællesskabet, skal vi simpelt hen vide noget mere om hinanden. Og det handler både om skoler, det handler om medier, det handler om en lang række ting.","common substring of 5F0GOPY8, V8LMMQZN",Reduced to shortest span after containment check
101115,answer,"Derfor har vi en interesse i at finde nogle løsninger, så vi beholder vores arbejdspladser og gør noget godt for vores klima.","common substring of EN4AMWYO, T4XQCNVT",Reduced to shortest span after containment check
101124,attack,Så har vi den igen.,"common substring of 0XG4V7HF, 3W55WS04",Reduced to shortest span after containment check
101127,self_promotion,"Jeg tager klokkeklart afstand fra det, selv om jeg er muslim, selv om jeg er brun – lige meget hvad, så tager jeg afstand fra det.","common substring of XA2J3CRV, GQV1P2A6",Reduced to shortest span after containment check
101127,evasion,Pas nu på med at være biased,"common substring of GQV1P2A6, PCIEWQQM",Reduced to shortest span after containment check
101127,evasion,"at her har vi haft en debat hele eftermiddagen, og så kommer jeg herop som partileder, og så skal jeg svare på spørgsmål om islam og muslimer.","common substring of GQV1P2A6, PCIEWQQM",Reduced to shortest span after containment check
101127,evasion,"hør mig sige det, jeg siger. Jeg siger, at der findes homofobi og kvindeundertrykkelse også i de muslimske miljøer, og det skal bekæmpes. Det siger jeg fuldstændig klart og fuldstændig tydeligt","common substring of GQV1P2A6, PCIEWQQM",Reduced to shortest span after containment check
101129,attack,"Vil Taleren tale om islam, må han have fat i en imam.","common substring of 5PIQCGDC, X8ONC7FW",Reduced to shortest span after containment check
101136,answer,"Men det, vi helt konkret gerne ser, er, at danske unge både i folkeskolen og gymnasiet får noget viden om Grønland og ikke kun om det historiske, fordi det sådan set er med til at regenerere fordommene","common substring of GQV1P2A6, PCIEWQQM",Reduced to shortest span after containment check
101149,attack,"Der er også et andet godt eksempel på, at Parti_Gs politik er skadelig for Danmark","common substring of XA2J3CRV, GQV1P2A6, PCIEWQQM",Reduced to shortest span after containment check
106054,answer,"Derfor tror jeg jo heller ikke, det her er enten-eller. Det er både-og. Altså, vi er jo stærk tilhængere af at have et godt NATO-samarbejde.","common substring of TMOFL9OS, 5PIQCGDC",Reduced to shortest span after containment check
106054,answer,"Jamen jeg er enig i mange af de synspunkter, som ordføreren giver udtryk for. Det er jo ikke nogen hemmelighed, at f.eks. ammunition er en særlig udfordrende problemstilling, som vi ser det nu i forhold til Ukraine.","common substring of TMOFL9OS, 5PIQCGDC",Reduced to shortest span after containment check
106877,evasion,"eg synes, vi skal tage det her meget, meget alvorligt, for tillid er jo selve fundamentet for det åbne, frie danske samfund.","common substring of TMOFL9OS, EN4AMWYO",Reduced to shortest span after containment check
106878,answer,"Så nej, jeg tror ikke, der dér er sådan en en til en-sammenhæng.","common substring of 5F0GOPY8, V8LMMQZN",Reduced to shortest span after containment check
106883,evasion,"Men ja, der er et akut behov for at komme videre på klimaspørgsmålet.","common substring of XA2J3CRV, PCIEWQQM",Reduced to shortest span after containment check
106891,evasion,"Der bliver spurgt om meget, og jeg kan ikke nå at svare på det hele. Jeg skal nok svare på CO 2 .","common substring of XA2J3CRV, PCIEWQQM",Reduced to shortest span after containment check
106891,attack,"fra en kender af Parti_Bs politik, kan man jo sige.","common substring of XA2J3CRV, PCIEWQQM",Reduced to shortest span after containment check
106894,answer,"Det er jo ikke sådan, at det at have slagtesvin i Danmark betyder, at man ikke kan lave skovrejsning","common substring of 0XG4V7HF, 3W55WS04",Reduced to shortest span after containment check
106894,evasion,"Jeg tror, at der er rigtig, rigtig mange slagteriarbejdere, der vil være kede af, hvis man i morgen sagde, at der ikke måtte blive produceret slagtesvin i Danmark","common substring of 0XG4V7HF, 3W55WS04",Reduced to shortest span after containment check
106894,evasion,"Og jeg vil også sige, at produktionsdyr er vigtige, fordi de er med til at skabe arbejdspladser","common substring of FEG68TDY, 3W55WS04",Reduced to shortest span after containment check
106903,answer,De er rigtig gode,"common substring of 0XG4V7HF, 3W55WS04",Reduced to shortest span after containment check
106903,answer,det handler det bl.a. om.,"common substring of 0XG4V7HF, FEG68TDY",Reduced to shortest span after containment check
106904,evasion,"I sidste valgperiode blev der jo sat ufattelig store, ambitiøse mål","common substring of 5F0GOPY8, V8LMMQZN",Reduced to shortest span after containment check
106911,answer,Parti_E er jo gået til finanslovsforhandlingerne med et åbent sind,"common substring of I65KPX5S, V8LMMQZN",Reduced to shortest span after containment check
106911,answer,generationsforureningerne er vigtige for Parti_E,"common substring of 5F0GOPY8, I65KPX5S",Reduced to shortest span after containment check
106920,answer,"Det, regeringen lægger op til, er bare, at man skal undersøge årsagerne til hjemsendelsen. Men det har vi fået undersøgt en gang. Det fik vi undersøgt, dengang den kommission frikendte FE-ledelsen for de anklager, den havde hængende over hovedet.","common substring of TMOFL9OS, 5PIQCGDC",Reduced to shortest span after containment check
106920,answer,"Nej, og jeg er glad for, at Taleren bringer det her op.","common substring of TMOFL9OS, 5PIQCGDC",Reduced to shortest span after containment check
106923,answer,"Så hvis man bare nedlagde dem fra den ene dag til den anden, ville vi jo mangle dem.","common substring of FEG68TDY, 3W55WS04",Reduced to shortest span after containment check
106926,answer,"Jamen der er mange finanslove, vi ikke er med i. Den sidste regerings finanslove var vi jo heller ikke en del af.","common substring of TMOFL9OS, EN4AMWYO",Reduced to shortest span after containment check
106928,answer,"Derfor skal vi gøre alt, hvad vi kan, for at beskytte vores drikkevand.","common substring of DIPTZ1WV, X8ONC7FW",Reduced to shortest span after containment check
106930,evasion,"De protester er der jo ikke længere. Og nu er der jo tale om en screening, hvor man bl.a. kigger på Vadehavet, men også på andre steder.","common substring of TMOFL9OS, T4XQCNVT",Reduced to shortest span after containment check
106933,attack,"Så kan man jo undre sig over, hvorfor det ikke blev videreført, når nu flertallet var til det.","common substring of DIPTZ1WV, X8ONC7FW",Reduced to shortest span after containment check
106944,evasion,"Og hvis man ikke har styr på sine betalingsbalancer, lige meget om det er penge, eller om det er naturressourcer, så går det i minus, og det kan vi ikke stå model til.","common substring of 5F0GOPY8, V8LMMQZN",Reduced to shortest span after containment check
106944,evasion,"Vi står her i dag på en earth overshoot-dag, allerede den 28. marts,","common substring of 5F0GOPY8, V8LMMQZN",Reduced to shortest span after containment check
106944,evasion,"fordi det ikke er den rigtige løsning, man så sidder med, hvis der er det dilemma. Så må man jo finde en anden løsning, hvor man ikke går på kompromis.","common substring of 5F0GOPY8, V8LMMQZN",Reduced to shortest span after containment check
106952,answer,"Det er jo særlig specialområderne, kan man sige.","common substring of TMOFL9OS, T4XQCNVT",Reduced to shortest span after containment check
106952,answer,"Så jeg synes, børneområdet er et område, man er nødt til at være særlig opmærksom på.","common substring of TMOFL9OS, T4XQCNVT",Reduced to shortest span after containment check
108230,answer,"Det er da klart, at der også er et politisk ansvar","common substring of XA2J3CRV, H3RLK3KQ",Reduced to shortest span after containment check
108230,answer,"Helt konkret har vi som en del af den her videreførelse af grænsekontrollen mod Tyskland indrettet det sådan, at man har en kapacitet til med få timers varsel at kunne lukke grænsen enten helt eller delvis efter behov.","common substring of XA2J3CRV, H3RLK3KQ",Reduced to shortest span after containment check
113205,answer,"Jamen så skal vi finde ud af, hvordan vi fra Folketinget begynder at klone ildsjæle, for det er jo det, der altid findes de steder, hvor det her virker. Der er en ildsjæl, som laver en friskole, og som går rundt og får de andre med på det, og så laver man en god friskole.","common substring of XA2J3CRV, 5PIQCGDC",Reduced to shortest span after containment check
113205,answer,"Lad os nu gøre det attraktivt at bo derude, både økonomisk, men også bare i den praktiske del af det at være voksende familie derude. Lad os finde en måde at transportere folk på. Giv dem kørekort som 16-årige.","common substring of 5PIQCGDC, H3RLK3KQ",Reduced to shortest span after containment check
113205,answer,"Men jo, mere decentrale og mindre bureaukratiske muligheder for at transportere folk skal vi bestemt have.","common substring of XA2J3CRV, H3RLK3KQ",Reduced to shortest span after containment check
114406,evasion,"men det er jo entydigt godt. Som jeg forstår det, er beregningen foretaget efter gængs metode.","common substring of 5PIQCGDC, PK7GC1W8",Reduced to shortest span after containment check
114408,evasion,"Det synes jeg faktisk er en meget stor milepæl,","common substring of 5F0GOPY8, V8LMMQZN",Reduced to shortest span after containment check
114408,evasion,"Jeg deler jo vigtigheden af,","common substring of 5F0GOPY8, V8LMMQZN",Reduced to shortest span after containment check
114410,evasion,"Der er jo mange ting, man bliver nødt til at se fordomsfrit på. Det ved jeg at Parti_H også gør. Det er et parti, der ser fordomsfrit på mange ting.","common substring of TMOFL9OS, EN4AMWYO",Reduced to shortest span after containment check
114410,evasion,"Men derudover er der jo også det kommunale selvstyre. Der er jo forskellige måder, kommunerne indretter sig på.","common substring of TMOFL9OS, EN4AMWYO",Reduced to shortest span after containment check
114410,evasion,"Men det her bliver jo en del af debatten, og derfor tænker jeg også, at Alex Vanopslagh skal glæde sig til at se udspillet folde sig ud.","common substring of TMOFL9OS, EN4AMWYO",Reduced to shortest span after containment check
114422,answer,"Nu har vi gjort det samme med flyafgiften. Jeg mener jo sådan set, at det skal være sådan, at selv hvis man ikke har så mange penge, skal man også have nogle af de samme muligheder som folk, der har mange penge.","common substring of DIPTZ1WV, X8ONC7FW",Reduced to shortest span after containment check
114422,attack,"som Taleren jo så ikke er en del af, men det skulle være meget bedre.","common substring of DIPTZ1WV, X8ONC7FW",Reduced to shortest span after containment check
114425,evasion,"Jeg står her som formand for Moderaterne, og vi mener det, vi mener.","common substring of 5F0GOPY8, V8LMMQZN",Reduced to shortest span after containment check
114427,evasion,", der går langt videre end vores ældreudspil, og som heller ikke kan afvikles på 30 sekunder","common substring of 5F0GOPY8, V8LMMQZN",Reduced to shortest span after containment check
114427,evasion,Derfor er spørgsmålet om transparens og afregningspriser og sådan noget helt centralt her,"common substring of I65KPX5S, V8LMMQZN",Reduced to shortest span after containment check
114427,evasion,"Det ville være en diskussion, vi gerne ville indgå i.","common substring of 5F0GOPY8, V8LMMQZN",Reduced to shortest span after containment check
114428,answer,Vi er i gang.,"common substring of TMOFL9OS, X8ONC7FW",Reduced to shortest span after containment check
